year,title,budget,domgross,intgross,code,budget_2013,domgross_2013,intgross_2013,rated,response,language,country,writer,metascore,imdb_rating,director,released_day,released_month,released,actors,genre,awards,runtime,type,imdb_votes,released_year,Budget,Domestic,International
2013,12 Years a Slave,20000000,53107035.0,158607035.0,2013FAIL,20000000,53107035.0,158607035.0,R,True,English,USA,"John Ridley (screenplay), Solomon Northup (based on ""Twelve Years a Slave"" by)",97.0,8.3,Steve McQueen,8,November,2013-11-08,"Chiwetel Ejiofor, Dwight Henry, Dickie Gravois, Bryan Batt",Biography,Won 3 Oscars. Another 131 wins & 137 nominations.,134 min,movie,"1,43,446",2013,20,53,158
2013,2 Guns,61000000,75612460.0,132493015.0,2013FAIL,61000000,75612460.0,132493015.0,R,True,"English, Spanish",USA,"Blake Masters (screenplay), Steven Grant (based on the Boom! Studios graphic novels by)",55.0,6.8,Baltasar Kormákur,2,August,2013-08-02,"Denzel Washington, Mark Wahlberg, Paula Patton, Edward James Olmos",Action,1 win.,109 min,movie,"87,301",2013,61,75,132
2013,42,40000000,95020213.0,95020213.0,2013FAIL,40000000,95020213.0,95020213.0,PG-13,True,English,USA,Brian Helgeland,62.0,7.6,Brian Helgeland,12,April,2013-04-12,"Chadwick Boseman, Harrison Ford, Nicole Beharie, Christopher Meloni",Biography,3 wins & 13 nominations.,128 min,movie,"43,608",2013,40,95,95
2013,47 Ronin,225000000,38362475.0,145803842.0,2013FAIL,225000000,38362475.0,145803842.0,PG-13,True,"English, Japanese",USA,"Chris Morgan (screenplay), Hossein Amini (screenplay), Chris Morgan (screen story by), Walter Hamada (screen story by)",29.0,6.6,Carl Rinsch,25,December,2013-12-25,"Keanu Reeves, Hiroyuki Sanada, Ko Shibasaki, Tadanobu Asano",Action,1 nomination.,118 min,movie,"25,735",2013,225,38,145
2013,A Good Day to Die Hard,92000000,67349198.0,304249198.0,2013FAIL,92000000,67349198.0,304249198.0,R,True,"English, Russian, Hindi",USA,"Skip Woods, Roderick Thorp (certain original characters by)",28.0,5.4,John Moore,14,February,2013-02-14,"Bruce Willis, Jai Courtney, Sebastian Koch, Mary Elizabeth Winstead",Action,2 wins & 3 nominations.,98 min,movie,"1,23,837",2013,92,67,304
2013,About Time,12000000,15323921.0,87324746.0,2013PASS,12000000,15323921.0,87324746.0,R,True,English,UK,Richard Curtis,55.0,7.8,Richard Curtis,8,November,2013-11-08,"Domhnall Gleeson, Rachel McAdams, Bill Nighy, Lydia Wilson",Drama,1 win & 6 nominations.,123 min,movie,"85,871",2013,12,15,87
2013,Admission,13000000,18007317.0,18007317.0,2013PASS,13000000,18007317.0,18007317.0,PG-13,True,English,USA,"Karen Croner (screenplay), Jean Hanff Korelitz (based on the novel by)",48.0,5.7,Paul Weitz,22,March,2013-03-22,"Tina Fey, Ann Harada, Ben Levin, Dan Levy",Comedy,,107 min,movie,"18,973",2013,13,18,18
2013,After Earth,130000000,60522097.0,244373198.0,2013FAIL,130000000,60522097.0,244373198.0,PG-13,True,English,USA,"Gary Whitta (screenplay), M. Night Shyamalan (screenplay), Will Smith (story)",33.0,5.0,M. Night Shyamalan,31,May,2013-05-31,"Jaden Smith, Will Smith, Sophie Okonedo, Zoë Kravitz",Action,3 wins & 5 nominations.,100 min,movie,"1,08,264",2013,130,60,244
2013,American Hustle,40000000,148430908.0,249484909.0,2013PASS,40000000,148430908.0,249484909.0,R,True,"English, Arabic",USA,"Eric Warren Singer, David O. Russell",90.0,7.5,David O. Russell,20,December,2013-12-20,"Christian Bale, Bradley Cooper, Amy Adams, Jeremy Renner",Crime,Nominated for 10 Oscars. Another 49 wins & 77 nominations.,138 min,movie,"1,50,073",2013,40,148,249
2013,August: Osage County,25000000,37304874.0,50304874.0,2013PASS,25000000,37304874.0,50304874.0,R,True,English,USA,"Tracy Letts (screenplay), Tracy Letts (play)",58.0,7.4,John Wells,10,January,2014-01-10,"Meryl Streep, Julia Roberts, Chris Cooper, Ewan McGregor",Drama,Nominated for 2 Oscars. Another 7 wins & 36 nominations.,121 min,movie,"29,369",2014,25,37,50
